interaction,Kendall,name,NMI,selected,shared interaction,shared name,Spearman,Weight
DQ576060,1.0,DQ582680,1.0,False,DQ576060,DQ582680,1.0,1.0
DQ582666,1.0,DQ593627,1.0,False,DQ582666,DQ593627,1.0,1.0
H3C12,0.8095238,H2AC17,1.0,False,H3C12,H2AC17,0.94285715,0.9174602627754213
COMBINAT11,0.9238095,CR608080,0.844711,False,COMBINAT11,CR608080,0.98214287,0.9168878197669984
CD86,1.0,FYB1,0.7494405,False,CD86,FYB1,1.0,0.9164801239967346
SBSPON,0.8857143,AL833212,0.8889651,False,SBSPON,AL833212,0.9678571,0.9141788482666016
COMBINAT7,0.9238095,CCL3,0.8000542,False,COMBINAT7,CCL3,0.98571426,0.903192698955536
AOAH,0.8666667,HLA-DMB,0.8268676,False,AOAH,HLA-DMB,0.95357144,0.8823685646057129
NCKAP1L,0.9238095,FYB1,0.7367408,False,NCKAP1L,FYB1,0.98214287,0.8808977603912354
TLR7,0.94285715,FYB1,0.698689,False,TLR7,FYB1,0.98571426,0.8757534623146057
